[34m[1mdetect: [0mweights=['/kaggle/working/yolov5/detection/car-detection/weights/best.pt'], source=/kaggle/input/video-data/traffic_test.mp4, data=data/coco128.yaml, imgsz=[640, 640], conf_thres=0.25, iou_thres=0.45, max_det=1000, device=, view_img=False, save_txt=False, save_format=0, save_csv=False, save_conf=False, save_crop=False, nosave=False, classes=None, agnostic_nms=False, augment=False, visualize=False, update=False, project=detection, name=traffic_test_inference, exist_ok=True, line_thickness=3, hide_labels=False, hide_conf=False, half=False, dnn=False, vid_stride=1
YOLOv5 🚀 v7.0-421-g79c4c31d Python-3.11.11 torch-2.6.0+cu124 CUDA:0 (Tesla T4, 15095MiB)

Fusing layers... 
Model summary: 157 layers, 7015519 parameters, 0 gradients, 15.8 GFLOPs
video 1/1 (127/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 13 not-cars, 7.3ms
video 1/1 (128/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 13 not-cars, 7.5ms
video 1/1 (129/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 13 not-cars, 7.5ms
video 1/1 (130/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 13 not-cars, 7.5ms
video 1/1 (131/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 10 not-cars, 7.5ms
video 1/1 (132/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 12 not-cars, 7.5ms
video 1/1 (133/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 12 not-cars, 7.5ms
video 1/1 (134/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 11 not-cars, 7.5ms
video 1/1 (135/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 11 not-cars, 7.5ms
video 1/1 (136/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 3 cars, 10 not-cars, 7.5ms
video 1/1 (137/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 10 not-cars, 7.5ms
video 1/1 (138/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 11 not-cars, 7.5ms
video 1/1 (139/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 10 not-cars, 7.5ms
video 1/1 (140/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 11 not-cars, 7.5ms
video 1/1 (141/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 11 not-cars, 7.5ms
video 1/1 (142/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 11 not-cars, 7.5ms
video 1/1 (143/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 11 not-cars, 7.5ms
video 1/1 (144/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 12 not-cars, 7.5ms
video 1/1 (145/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 11 not-cars, 7.5ms
video 1/1 (146/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 4 cars, 11 not-cars, 7.5ms
video 1/1 (147/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.5ms
video 1/1 (148/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.5ms
video 1/1 (149/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 13 not-cars, 7.5ms
video 1/1 (150/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 11 not-cars, 7.5ms
video 1/1 (151/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 12 not-cars, 7.5ms
video 1/1 (152/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 12 not-cars, 7.5ms
video 1/1 (153/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 12 not-cars, 7.5ms
video 1/1 (154/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 5 cars, 14 not-cars, 7.9ms
video 1/1 (155/5920) /kaggle/input/video-data/traffic_test.mp4: 384x640 6 cars, 12 not-cars, 7.5ms
